facility_id,institution_id,source_facility_id,crms_credit_id,facility_type,product_code,currency,approved_limit,original_principal,amount_disbursed,origination_date,first_disbursement_date,maturity_date,original_tenor_days,interest_rate,rate_type,repayment_frequency,scheduled_payment_amount,purpose_code,sector_code,funding_source_code,secured_flag,facility_status,snapshot_date,outstanding_principal,total_exposure,days_past_due,delinquency_bucket,default_flag,default_date,restructure_flag,writeoff_flag,writeoff_amount,recovery_amount,party_id,borrower_external_id,party_type,data_classification,wcds_version
FAC-LENDER_A-00000001,LENDER_A,LENDER_A-100001,,TERM_LOAN,SALARY_3M,NGN,200000,200000,200000,2026-04-29,2026-04-29,2026-07-28,90,0.376731,FIXED,MONTHLY,72859.51,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000001,ANON-LENDER_A-00000001,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000002,LENDER_A,LENDER_A-100002,,TERM_LOAN,SALARY_3M,NGN,150000,150000,150000,2025-12-31,2025-12-31,2026-03-31,90,0.407062,FIXED,MONTHLY,55018.57,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000002,ANON-LENDER_A-00000002,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000003,LENDER_A,LENDER_A-100003,,TERM_LOAN,PERSONAL_9M,NGN,1000000,1000000,1000000,2025-06-08,2025-06-08,2026-03-05,270,0.365922,FIXED,MONTHLY,141186.92,PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000003,ANON-LENDER_A-00000003,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000004,LENDER_A,LENDER_A-100004,,TERM_LOAN,SALARY_3M,NGN,500000,500000,500000,2025-08-28,2025-08-28,2025-11-26,90,0.370712,FIXED,MONTHLY,181901.4,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000004,ANON-LENDER_A-00000004,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000005,LENDER_A,LENDER_A-100005,,TERM_LOAN,SALARY_6M,NGN,150000,150000,150000,2025-08-09,2025-08-09,2026-02-05,180,0.351619,FIXED,MONTHLY,29335.03,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,ACTIVE,2026-08-21,8750.0,9002.88,35,DPD_31_60,False,,False,False,0,0,PTY-LENDER_A-00000005,ANON-LENDER_A-00000005,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000006,LENDER_A,LENDER_A-100006,,TERM_LOAN,SALARY_6M,NGN,150000,150000,150000,2025-01-23,2025-01-23,2025-07-22,180,0.347568,FIXED,MONTHLY,29285.08,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000006,ANON-LENDER_A-00000006,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000007,LENDER_A,LENDER_A-100007,,TERM_LOAN,SALARY_3M,NGN,150000,150000,150000,2026-06-26,2026-06-26,2026-09-24,90,0.375437,FIXED,MONTHLY,54628.67,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,ACTIVE,2026-08-21,56666.67,56666.67,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000007,ANON-LENDER_A-00000007,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000008,LENDER_A,LENDER_A-100008,,TERM_LOAN,SALARY_3M,NGN,500000,500000,500000,2025-10-31,2025-10-31,2026-01-29,90,0.392768,FIXED,MONTHLY,182807.83,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000008,ANON-LENDER_A-00000008,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000009,LENDER_A,LENDER_A-100009,,TERM_LOAN,PERSONAL_9M,NGN,300000,300000,300000,2026-05-30,2026-05-30,2027-02-24,270,0.322632,FIXED,MONTHLY,41288.65,PERSONAL,HOUSEHOLD,DEPOSITS,False,ACTIVE,2026-08-21,207777.78,207777.78,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000009,ANON-LENDER_A-00000009,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000010,LENDER_A,LENDER_A-100010,,TERM_LOAN,SALARY_6M,NGN,300000,300000,300000,2025-01-18,2025-01-18,2025-07-17,180,0.347495,FIXED,MONTHLY,58568.38,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000010,ANON-LENDER_A-00000010,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000011,LENDER_A,LENDER_A-100011,,TERM_LOAN,SALARY_3M,NGN,400000,400000,400000,2025-06-27,2025-06-27,2025-09-25,90,0.338914,FIXED,MONTHLY,144475.71,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000011,ANON-LENDER_A-00000011,PERSON,synthetic,WCDS-0.1
FAC-LENDER_A-00000012,LENDER_A,LENDER_A-100012,,TERM_LOAN,SALARY_6M,NGN,250000,250000,250000,2025-03-18,2025-03-18,2025-09-14,180,0.373149,FIXED,MONTHLY,49334.12,UNSECURED_PERSONAL,HOUSEHOLD,DEPOSITS,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_A-00000012,ANON-LENDER_A-00000012,PERSON,synthetic,WCDS-0.1
