facility_id,institution_id,source_facility_id,crms_credit_id,facility_type,product_code,currency,approved_limit,original_principal,amount_disbursed,origination_date,first_disbursement_date,maturity_date,original_tenor_days,interest_rate,rate_type,repayment_frequency,scheduled_payment_amount,purpose_code,sector_code,funding_source_code,secured_flag,facility_status,snapshot_date,outstanding_principal,total_exposure,days_past_due,delinquency_bucket,default_flag,default_date,restructure_flag,writeoff_flag,writeoff_amount,recovery_amount,party_id,borrower_external_id,party_type,data_classification,wcds_version
FAC-LENDER_C-00000001,LENDER_C,LENDER_C-100001,,TERM_LOAN,STAFF_LOAN,NGN,50000,50000,50000,2026-06-24,2026-06-24,2027-06-24,365,0.173362,FIXED,MONTHLY,4889.01,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,42054.79,42054.79,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000001,ANON-LENDER_C-00000001,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000002,LENDER_C,LENDER_C-100002,,TERM_LOAN,SME_MICRO,NGN,50000,50000,50000,2025-05-05,2025-05-05,2026-01-30,270,0.349701,FIXED,MONTHLY,6992.68,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,False,DEFAULTED,2026-08-21,7500.0,7715.57,180,DPD_90_PLUS,True,2026-05-23,False,False,0,0,PTY-LENDER_C-00000002,ANON-LENDER_C-00000002,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000003,LENDER_C,LENDER_C-100003,,TERM_LOAN,STAFF_LOAN,NGN,3500000,3500000,3500000,2025-10-12,2025-10-12,2026-10-12,365,0.170077,FIXED,MONTHLY,341272.46,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,586130.14,590226.87,15,DPD_1_30,False,,False,False,0,0,PTY-LENDER_C-00000003,ANON-LENDER_C-00000003,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000004,LENDER_C,LENDER_C-100004,,TERM_LOAN,STAFF_LOAN,NGN,75000,75000,75000,2025-02-23,2025-02-23,2026-02-23,365,0.174073,FIXED,MONTHLY,7337.95,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000004,ANON-LENDER_C-00000004,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000005,LENDER_C,LENDER_C-100005,,TERM_LOAN,SME_MICRO,NGN,100000,100000,100000,2026-04-28,2026-04-28,2027-01-23,270,0.323942,FIXED,MONTHLY,13773.65,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,57407.41,57407.41,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000005,ANON-LENDER_C-00000005,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000006,LENDER_C,LENDER_C-100006,,TERM_LOAN,SME_MICRO,NGN,100000,100000,100000,2026-04-23,2026-04-23,2027-01-18,270,0.386481,FIXED,MONTHLY,14287.66,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,55555.56,55555.56,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000006,ANON-LENDER_C-00000006,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000007,LENDER_C,LENDER_C-100007,,TERM_LOAN,STAFF_LOAN,NGN,500000,500000,500000,2025-01-11,2025-01-11,2026-01-11,365,0.131303,FIXED,MONTHLY,47137.64,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000007,ANON-LENDER_C-00000007,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000008,LENDER_C,LENDER_C-100008,,TERM_LOAN,STAFF_LOAN,NGN,100000,100000,100000,2025-06-30,2025-06-30,2026-06-30,365,0.199202,FIXED,MONTHLY,9993.35,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000008,ANON-LENDER_C-00000008,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000009,LENDER_C,LENDER_C-100009,,TERM_LOAN,SME_MICRO,NGN,150000,150000,150000,2025-12-21,2025-12-21,2026-09-17,270,0.330124,FIXED,MONTHLY,20736.69,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,15000.0,15000.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000009,ANON-LENDER_C-00000009,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000010,LENDER_C,LENDER_C-100010,,TERM_LOAN,SME_MICRO,NGN,1000000,1000000,1000000,2025-01-14,2025-01-14,2025-10-11,270,0.360418,FIXED,MONTHLY,140734.47,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,True,ACTIVE,2026-08-21,11666.67,11747.31,7,DPD_1_30,False,,False,False,0,0,PTY-LENDER_C-00000010,ANON-LENDER_C-00000010,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000011,LENDER_C,LENDER_C-100011,,TERM_LOAN,STAFF_LOAN,NGN,3500000,3500000,3500000,2026-04-13,2026-04-13,2027-04-13,365,0.19178,FIXED,MONTHLY,347602.52,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,DEFAULTED,2026-08-21,2778424.66,2822220.26,180,DPD_90_PLUS,True,2026-05-23,False,False,0,0,PTY-LENDER_C-00000011,ANON-LENDER_C-00000011,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000012,LENDER_C,LENDER_C-100012,,TERM_LOAN,STAFF_LOAN,NGN,2000000,2000000,2000000,2025-08-09,2025-08-09,2026-08-09,365,0.182726,FIXED,MONTHLY,197121.01,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000012,ANON-LENDER_C-00000012,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000013,LENDER_C,LENDER_C-100013,,TERM_LOAN,STAFF_LOAN,NGN,300000,300000,300000,2025-06-21,2025-06-21,2026-06-21,365,0.164049,FIXED,MONTHLY,29101.23,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000013,ANON-LENDER_C-00000013,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000014,LENDER_C,LENDER_C-100014,,TERM_LOAN,GROUP_MICRO,NGN,3500000,3500000,3500000,2026-03-15,2026-03-15,2026-09-11,180,0.438519,FIXED,WEEKLY,163726.78,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,449166.67,452944.14,7,DPD_1_30,False,,False,False,0,0,PTY-LENDER_C-00000014,ANON-LENDER_C-00000014,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000015,LENDER_C,LENDER_C-100015,,TERM_LOAN,GROUP_MICRO,NGN,200000,200000,200000,2026-01-27,2026-01-27,2026-07-26,180,0.421085,FIXED,WEEKLY,9289.68,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,2333.33,2352.18,7,DPD_1_30,False,,False,False,0,0,PTY-LENDER_C-00000015,ANON-LENDER_C-00000015,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000016,LENDER_C,LENDER_C-100016,,TERM_LOAN,ASSET_FINANCE,NGN,3500000,3500000,3500000,2026-07-01,2026-07-01,2027-07-01,365,0.270513,FIXED,MONTHLY,370566.39,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,True,ACTIVE,2026-08-21,3215125.57,3286610.59,35,DPD_31_60,False,,False,False,0,0,PTY-LENDER_C-00000016,ANON-LENDER_C-00000016,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000017,LENDER_C,LENDER_C-100017,,TERM_LOAN,STAFF_LOAN,NGN,2000000,2000000,2000000,2025-07-07,2025-07-07,2026-07-07,365,0.173417,FIXED,MONTHLY,195569.55,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,216666.67,219754.92,65,DPD_61_90,False,,False,False,0,0,PTY-LENDER_C-00000017,ANON-LENDER_C-00000017,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000018,LENDER_C,LENDER_C-100018,,TERM_LOAN,SME_MICRO,NGN,75000,75000,75000,2026-01-26,2026-01-26,2026-10-23,270,0.294014,FIXED,MONTHLY,10145.75,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,True,ACTIVE,2026-08-21,19375.0,19609.1,15,DPD_1_30,False,,False,False,0,0,PTY-LENDER_C-00000018,ANON-LENDER_C-00000018,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000019,LENDER_C,LENDER_C-100019,,TERM_LOAN,GROUP_MICRO,NGN,500000,500000,500000,2025-02-17,2025-02-17,2025-08-16,180,0.350226,FIXED,WEEKLY,22552.2,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000019,ANON-LENDER_C-00000019,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000020,LENDER_C,LENDER_C-100020,,TERM_LOAN,ASSET_FINANCE,NGN,50000,50000,50000,2025-05-04,2025-05-04,2026-05-04,365,0.275583,FIXED,MONTHLY,5314.93,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,True,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000020,ANON-LENDER_C-00000020,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000021,LENDER_C,LENDER_C-100021,,TERM_LOAN,STAFF_LOAN,NGN,3500000,3500000,3500000,2025-06-16,2025-06-16,2026-06-16,365,0.166597,FIXED,MONTHLY,340257.46,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000021,ANON-LENDER_C-00000021,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000022,LENDER_C,LENDER_C-100022,,TERM_LOAN,STAFF_LOAN,NGN,750000,750000,750000,2025-05-15,2025-05-15,2026-05-15,365,0.14161,FIXED,MONTHLY,71350.61,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000022,ANON-LENDER_C-00000022,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000023,LENDER_C,LENDER_C-100023,,TERM_LOAN,STAFF_LOAN,NGN,500000,500000,500000,2026-03-31,2026-03-31,2027-03-31,365,0.190835,FIXED,MONTHLY,49618.12,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,304109.59,304109.59,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000023,ANON-LENDER_C-00000023,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000024,LENDER_C,LENDER_C-100024,,TERM_LOAN,STAFF_LOAN,NGN,500000,500000,500000,2026-06-24,2026-06-24,2027-06-24,365,0.189796,FIXED,MONTHLY,49574.83,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,DEFAULTED,2026-08-21,495547.95,503278.32,180,DPD_90_PLUS,True,2026-05-23,False,False,0,0,PTY-LENDER_C-00000024,ANON-LENDER_C-00000024,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000025,LENDER_C,LENDER_C-100025,,TERM_LOAN,ASSET_FINANCE,NGN,75000,75000,75000,2026-01-24,2026-01-24,2027-01-24,365,0.202728,FIXED,MONTHLY,7517.05,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,True,ACTIVE,2026-08-21,32054.79,32054.79,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000025,ANON-LENDER_C-00000025,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000026,LENDER_C,LENDER_C-100026,,TERM_LOAN,ASSET_FINANCE,NGN,100000,100000,100000,2026-01-16,2026-01-16,2027-01-16,365,0.21592,FIXED,MONTHLY,10132.67,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,True,ACTIVE,2026-08-21,40547.95,40547.95,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000026,ANON-LENDER_C-00000026,ORGANISATION,synthetic,WCDS-0.1
FAC-LENDER_C-00000027,LENDER_C,LENDER_C-100027,,TERM_LOAN,GROUP_MICRO,NGN,150000,150000,150000,2026-02-24,2026-02-24,2026-08-23,180,0.444152,FIXED,WEEKLY,7032.89,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,False,ACTIVE,2026-08-21,1666.67,1666.67,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000027,ANON-LENDER_C-00000027,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000028,LENDER_C,LENDER_C-100028,,TERM_LOAN,STAFF_LOAN,NGN,150000,150000,150000,2025-03-04,2025-03-04,2026-03-04,365,0.13751,FIXED,MONTHLY,14218.87,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,DEFAULTED,2026-08-21,22500.0,22754.3,130,DPD_90_PLUS,True,2026-07-12,False,False,0,0,PTY-LENDER_C-00000028,ANON-LENDER_C-00000028,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000029,LENDER_C,LENDER_C-100029,,TERM_LOAN,STAFF_LOAN,NGN,75000,75000,75000,2025-01-30,2025-01-30,2026-01-30,365,0.135231,FIXED,MONTHLY,7095.19,PERSONAL,MICROFINANCE,DEPOSITS_AND_EQUITY,False,CLOSED,2026-08-21,0,0.0,0,CURRENT,False,,False,False,0,0,PTY-LENDER_C-00000029,ANON-LENDER_C-00000029,PERSON,synthetic,WCDS-0.1
FAC-LENDER_C-00000030,LENDER_C,LENDER_C-100030,,TERM_LOAN,ASSET_FINANCE,NGN,50000,50000,50000,2026-03-20,2026-03-20,2027-03-20,365,0.315349,FIXED,MONTHLY,5480.62,MICRO_ENTERPRISE,MICROFINANCE,DEPOSITS_AND_EQUITY,True,ACTIVE,2026-08-21,31820.78,32645.54,35,DPD_31_60,False,,False,False,0,0,PTY-LENDER_C-00000030,ANON-LENDER_C-00000030,ORGANISATION,synthetic,WCDS-0.1
